Type,BegDate,EndDate
averyeng,1300,1700
bowlescreekpl,900,1300
bullardbr,1400,1680
crockettcurvinc,900,1300
davisinc,900,1300
dunkininc,900,1400
durennb,900,1300
fairpl,1400,1650
hickoryeng,900,1300
hodgeseng,1500,1680
hollyeng,900,1300
hoodeng,1400,1680
hoodpl,1400,1680
humeeng,1400,1680
humepl,1400,1680
humepunc,1400,1680
kenotr,1400,1830
kiaminc,900,1300
killoughpin,1400,1680
laruenb,1400,1680
maydelleinc,1400,1680
nacogdocheseng,1100,1400
pattoneng,1650,1830
pattoninc,1650,1830
penningtonpunctinc,900,1300
poynorbr,1400,1650
poynoreng,1400,1650
poynorpl,1400,1650
simmseng,1300,1830
tayloreng,1430,1680
washingtonsqp,1100,1400
wechesfingimp,900,1300
